wavelength(nm), irradiance (watts/m^2/nm)
174.41, 9.820112362159599E-4
174.415, 9.888615618400152E-4
174.42, 9.976414432164215E-4
174.425, 0.0010078318626042654
174.43, 0.0010189055829159474
174.435, 0.001030335367064041
174.44, 0.0010415939779610654
174.445, 0.001052154178519539
174.45, 0.0010614887316519814
174.455, 0.0010690704002709484
174.46, 0.0010743719472888706
174.465, 0.001076866135618315
174.47, 0.0010760257281718013
174.475, 0.0010715206835715924
174.48, 0.0010638097432789301
174.485, 0.0010535488444647365
174.49, 0.0010413939243001172
174.495, 0.0010280009199560062
174.5, 0.0010140257686033901
174.505, 0.0010001244074132553
174.51, 9.86952773556587E-4
174.515, 9.751668042043722E-4
174.52, 9.654224365275482E-4
174.525, 9.58375607697215E-4
174.53, 9.546695596817555E-4
174.535, 9.544540084508314E-4
174.54, 9.572375622457835E-4
174.545, 9.62485982999378E-4
174.55, 9.696650326444257E-4
174.555, 9.782404731136088E-4
174.56, 9.876780663397287E-4
174.565, 9.974435742555517E-4
174.57, 0.0010070027587938434
174.575, 0.0010158213818873697
174.58, 0.0010233652054689349
174.585, 0.0010290999914712162
174.59, 0.0010326248734180326
174.595, 0.0010340724711971798
174.6, 0.001033708776287459
174.605, 0.0010317997801676708
174.61, 0.0010286114743165958
174.615, 0.0010244098502130725
174.62, 0.0010194608993358873
174.625, 0.0010140306131638417
174.63, 0.0010083849831757368
174.635, 0.0010027900008503733
174.64, 9.975116576665536E-4
174.645, 9.928000665378588E-4
174.65, 9.886677499950382E-4
174.655, 9.849443330215192E-4
174.66, 9.814547358406986E-4
174.665, 9.780238786759744E-4
174.67, 9.744766817507449E-4
174.675, 9.706380652883837E-4
174.68, 9.663329495123319E-4
174.685, 9.613862546459666E-4
174.69, 9.556229009126849E-4
174.695, 9.488678085358849E-4
174.7, 9.409465727293685E-4
174.705, 9.318278866727399E-4
174.71, 9.217997140073203E-4
174.715, 9.111932177601975E-4
174.72, 9.003395609585082E-4
174.725, 8.895699066293884E-4
174.73, 8.792154177999747E-4
174.735, 8.696072574973511E-4
174.74, 8.610765887487656E-4
174.745, 8.539545745812967E-4
174.75, 8.485723780220811E-4
174.755, 8.452611620982552E-4
174.76, 8.442973506281724E-4
174.765, 8.455528104652704E-4
174.77, 8.487180848339148E-4
174.775, 8.534828616582742E-4
174.78, 8.595368288625659E-4
174.785, 8.665696743709954E-4
174.79, 8.742710861077688E-4
174.795, 8.823307519970912E-4
174.8, 8.90438359963213E-4
174.805, 8.982835979302466E-4
174.81, 9.055561538224435E-4
174.815, 9.119502528125089E-4
174.82, 9.173365056085882E-4
174.825, 9.218146539680775E-4
174.83, 9.254997528620795E-4
174.835, 9.285068572616365E-4
174.84, 9.309510221378559E-4
174.845, 9.329473024618208E-4
174.85, 9.346107532046149E-4
174.855, 9.360564293373224E-4
174.86, 9.373993858310345E-4
174.865, 9.387546776568202E-4
174.87, 9.402370861404518E-4
174.875, 9.41903379800049E-4
