microsecondsSinceGpsEpoch, intTime (milli-seconds)
9.43401693E14, 1000.0
9.43401694E14, 1000.0
9.43401695E14, 1000.0
9.43401696E14, 1000.0
9.43401697E14, 1000.0
9.43401698E14, 1000.0
9.43401699E14, 1000.0
9.434017E14, 1000.0
9.43401701E14, 1000.0
9.43401702E14, 1000.0
9.43401703E14, 1000.0
9.43401704E14, 1000.0
9.43401705E14, 1000.0
9.43401706E14, 1000.0
9.43401707E14, 1000.0
9.43401708E14, 1000.0
9.43401709E14, 1000.0
9.4340171E14, 1000.0
9.43401711E14, 1000.0
9.43401712E14, 1000.0
9.43401713E14, 1000.0
9.43401714E14, 1000.0
9.43401715E14, 1000.0
9.43401716E14, 1000.0
9.43401717E14, 1000.0
9.43401718E14, 1000.0
9.43401719E14, 1000.0
9.4340172E14, 1000.0
9.43401721E14, 1000.0
9.43401722E14, 1000.0
9.43401723E14, 1000.0
9.43401724E14, 1000.0
9.43401725E14, 1000.0
9.43401726E14, 1000.0
9.43401727E14, 1000.0
9.43401728E14, 1000.0
9.43401729E14, 1000.0
9.4340173E14, 1000.0
9.43401731E14, 1000.0
9.43401732E14, 1000.0
9.43401733E14, 1000.0
9.43401734E14, 1000.0
9.43401735E14, 1000.0
9.43401736E14, 1000.0
9.43401737E14, 1000.0
9.43401738E14, 1000.0
9.43401739E14, 1000.0
9.4340174E14, 1000.0
9.43401741E14, 1000.0
9.43401742E14, 1000.0
9.43401743E14, 1000.0
9.43401744E14, 1000.0
9.43401745E14, 1000.0
9.43401746E14, 1000.0
9.43401747E14, 1000.0
9.43401748E14, 1000.0
9.43401749E14, 1000.0
9.4340175E14, 1000.0
9.43401751E14, 1000.0
9.43401752E14, 1000.0
9.43401753E14, 1000.0
9.43401754E14, 1000.0
9.43401755E14, 1000.0
9.43401756E14, 1000.0
9.43401757E14, 1000.0
9.43401758E14, 1000.0
9.43401759E14, 1000.0
9.4340176E14, 1000.0
9.43401761E14, 1000.0
9.43401762E14, 1000.0
9.43401763E14, 1000.0
9.43401764E14, 1000.0
9.43401765E14, 1000.0
9.43401766E14, 1000.0
9.43401767E14, 1000.0
9.43401768E14, 1000.0
9.43401769E14, 1000.0
9.4340177E14, 1000.0
9.43401771E14, 1000.0
9.43401772E14, 1000.0
9.43401773E14, 1000.0
9.43401774E14, 1000.0
9.43401775E14, 1000.0
9.43401776E14, 1000.0
9.43401777E14, 1000.0
9.434017775100002E14, 250.0
